model_name,val_acc,test_acc,params,train_time_min
resnet18_fe,0.9036666666666666,,3078,8.946694640318553
resnet18_ft,0.9333333333333332,,11179590,4.582758084932963
efficientnet_b0_fe,0.8826666666666667,,7686,6.36549437046051
efficientnet_b0_ft,0.9316666666666666,
